
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.PlainSocketImpl.connectToAddress(PlainSocketImpl.java:213)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.PlainSocketImpl.connect(PlainSocketImpl.java:200)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:366)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.connect(Socket.java:529)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.connect(Socket.java:478)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.<init>(Socket.java:375)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.<init>(Socket.java:218)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.StandardSocketFactory.connect(StandardSocketFactory.java:258)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:306)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	... 53 more
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: ------
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:39)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:513)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.PoolUtil.generateSQLException(PoolUtil.java:192)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.BoneCP.<init>(BoneCP.java:422)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.BoneCPDataSource.getConnection(BoneCPDataSource.java:120)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.engine.jdbc.connections.internal.DatasourceConnectionProviderImpl.getConnection(DatasourceConnectionProviderImpl.java:139)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.internal.AbstractSessionImpl$NonContextualJdbcConnectionAccess.obtainConnection(AbstractSessionImpl.java:380)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.engine.jdbc.internal.LogicalConnectionImpl.obtainConnection(LogicalConnectionImpl.java:228)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	... 33 more
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: Caused by: com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:39)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:513)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:409)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1127)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:356)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2502)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2539)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2321)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:832)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:46)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:39)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:513)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:409)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:417)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:344)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.sql.DriverManager.getConnection(DriverManager.java:582)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.sql.DriverManager.getConnection(DriverManager.java:185)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.BoneCP.obtainRawInternalConnection(BoneCP.java:363)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.BoneCP.<init>(BoneCP.java:416)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	... 37 more
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: Caused by: java.net.ConnectException: Connection refused: connect
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.PlainSocketImpl.socketConnect(Native Method)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.PlainSocketImpl.doConnect(PlainSocketImpl.java:351)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.PlainSocketImpl.connectToAddress(PlainSocketImpl.java:213)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.PlainSocketImpl.connect(PlainSocketImpl.java:200)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:366)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.connect(Socket.java:529)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.connect(Socket.java:478)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.<init>(Socket.java:375)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.net.Socket.<init>(Socket.java:218)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.StandardSocketFactory.connect(StandardSocketFactory.java:258)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:306)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	... 53 more
STATUS | wrapper  | 2015/07/16 16:45:07 | <-- Wrapper Stopped
STATUS | wrapperm | 2015/07/16 16:47:11 | ReconciliationService service removed.
STATUS | wrapperm | 2015/07/16 16:47:17 | ReconciliationService service installed.
STATUS | wrapper  | 2015/07/16 16:47:25 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/07/16 16:47:25 | Java Service Wrapper Professional Edition 32-bit 3.5.26
STATUS | wrapper  | 2015/07/16 16:47:25 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2015/07/16 16:47:25 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2015/07/16 16:47:25 | 
NOTICE | wrapper  | 2015/07/16 16:47:25 | --------------------------------------------------------------------
NOTICE | wrapper  | 2015/07/16 16:47:25 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2015/07/16 16:47:25 | 
NOTICE | wrapper  | 2015/07/16 16:47:25 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2015/07/16 16:47:25 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2015/07/16 16:47:25 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2015/07/16 16:47:25 | automatically after 15 minutes.
NOTICE | wrapper  | 2015/07/16 16:47:25 | 
NOTICE | wrapper  | 2015/07/16 16:47:25 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2015/07/16 16:47:25 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2015/07/16 16:47:25 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2015/07/16 16:47:25 | a one-month Free trial license:
NOTICE | wrapper  | 2015/07/16 16:47:25 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2015/07/16 16:47:25 | 
NOTICE | wrapper  | 2015/07/16 16:47:25 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2015/07/16 16:47:25 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2015/07/16 16:47:25 | web site:
NOTICE | wrapper  | 2015/07/16 16:47:25 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2015/07/16 16:47:25 | 
